Trader Address,Trader Name,Account Value,Trading Volume (1d),Trading Volume (7d),Trading Volume (1m),Trading Volume (All time),PNL (1d),PNL (7d),PNL (1m),PNL (All time)
0x068c53aafbfeb51bf1e75b88f16af22b448f8e8c,nbs,6770939.115,0,199993.66,32577749.58,198239590.6,1422255.796,359901.8064,-2026751.242,5197591.465
0x9b83f16d0a6456f90a8a330f04c0ca1b2f0425b0,,19586202.19,1733986.2,5796620.07,434446063.2,1265639930,1408162.09,-59878.91716,357108.1384,1125800.38
0x372c7f69d0ecc14f73f89bd8a7dfb41bdf29857c,,16413826.94,0,0,220615.87,18708745.47,1401421.631,0,16279.88654,56128.43
0x2fab552502a6d45920d5741a2f3ebf4c35536352,,16409295.18,0,0,0,0,1401040.438,0,0,0
0xfd7a84563bf1962498ba82baf3a66b2b326ffb32,,13196940.74,0,0,0,0,1397405.134,102709.7272,0,0
0xcd1a5fb7c3a5ad2a13fce54853b3c3a01396e525,,17874784.4,0,0,0,0,1381040.582,96261.53038,0,4184439.913
0x549e6dd8453ed87fccdcf4f8b37162b10edc0533,,3725119.439,3823077.57,21510018.18,156038615.5,510732342.3,1360297.301,-1862117.614,207469.9927,-5115442.691
0x14972b3f0140ad3e80f191d4b3f5728d7ee5a652,,17469287.37,0,0,0,0,1348731.745,86704.18362,0,0
0xefffa330cbae8d916ad1d33f0eeb16cfa711fa91,,3692016.044,9638300.65,43101557.81,121813742,121813742,1241838.563,2265191.717,1609072.464,1609072.464
0x82f973a90ff607bf78bf6ec4e93fefe41d4521d8,,16373497.96,0,0,0,0,1233958.216,114897.0552,0,0
0xaefcc9cacbe0e41978bef1818358f471848de9cb,,16368502.06,0,440154.52,440154.52,440154.52,1233598.015,97781.86549,0,4421476.837
0x15b325660a1c4a9582a7d834c31119c0cb9e3a42,,4411638.741,0,1323134.28,76033305.97,778834379.9,1233225.328,-296705.1895,-9506787.138,12872463.04
0xfa0f450d61acd11bc0f6a986260fc25c1758ccb9,,17697651.41,0,0,0,28119179.84,1228729.659,0,0,0
